# %ECSV 0.9
# ---
# datatype:
# - { name : Index,  datatype : float32, description : photon index }
# - { name : 1GeV_norm, unit : GeV-1 cm-2 s-1, datatype : float32, description : Energy }
# schema : astropy −2.0
# meta : !!omap
# - { RA : 0 }
# - { DEC : 0 }
# - { RoI : 2.5 }
Index 1GeV_norm
1.53 5.93633e-11
1.56 5.93633e-11
1.59 5.93633e-11
1.62 2.27166e-10
1.65 2.27166e-10
1.68 2.27166e-10
1.71 8.27545e-10
1.74 8.27545e-10
1.77 8.27545e-10
1.8 2.87346e-09
1.83 2.87346e-09
1.86 2.87346e-09
1.89 2.87346e-09
1.92 9.526e-09
1.95 9.526e-09
1.98 9.526e-09
2.01 3.02042e-08
2.04 3.02042e-08
2.07 3.02042e-08
2.1 9.17406e-08
2.13 9.17406e-08
2.16 9.17406e-08
2.19 9.17406e-08
2.22 2.67276e-07
2.25 2.67276e-07
2.28 2.67276e-07
2.31 7.47647e-07
2.34 7.47647e-07
2.37 7.47647e-07
2.4 2.00959e-06
2.43 2.00959e-06
2.46 2.00959e-06
2.49 2.00959e-06
2.52 5.19361e-06
2.55 5.19361e-06
2.58 5.19361e-06
2.61 1.29139e-05
2.64 1.29139e-05
2.67 1.29139e-05
2.7 3.0918e-05
2.73 3.0918e-05
2.76 3.0918e-05
2.79 3.0918e-05
2.82 7.13465e-05
2.85 7.13465e-05
2.88 7.13465e-05
2.91 0.000158898
2.94 0.000158898
2.97 0.000158898
3 0.000342121
